ds,yhat,yhat_lower,yhat_upper,trend,yearly,y,Data_Type
2021-01-04,3822.7460369598734,3659.539987504152,3984.7089594190347,3767.125437618423,55.62059934145045,3700.64990234375,Actual
2021-01-05,3824.133779529498,3658.9472566360587,3983.8117743244834,3771.1802267236517,52.953552805846535,3726.860107421875,Actual
2021-01-06,3825.416321186303,3654.3531597445453,3985.3073089921054,3775.23501582888,50.18130535742294,3748.139892578125,Actual
2021-01-07,3826.6013745541595,3665.606534601291,3994.414261780261,3779.2898049341093,47.31156962005047,3803.7900390625,Actual
2021-01-08,3827.7030988158203,3661.468481921991,4000.408916659091,3783.3445940393376,44.35850477648263,3824.679931640625,Actual
2021-01-11,3830.7432864595257,3681.029806610252,3998.671536456456,3795.508961355025,35.23432510450092,3799.610107421875,Actual
2021-01-12,3831.7746759470097,3679.5502041572036,3988.262823625989,3799.5637504602532,32.21092548675653,3801.18994140625,Actual
2021-01-13,3832.879674691725,3658.0503687035834,3990.733293122098,3803.6185395654816,29.261135126243634,3809.840087890625,Actual
2021-01-14,3834.1018660815175,3666.588393811913,3997.545605015098,3807.6733286707104,26.428537410807042,3795.5400390625,Actual
2021-01-15,3835.4863777679057,3666.9983375169963,4001.6709968835276,3811.7281177759396,23.75825999196595,3768.25,Actual
2021-01-19,3843.526819982852,3681.5123764720443,4009.4383153049735,3827.947274196855,15.579545785997219,3798.909912109375,Actual
2021-01-20,3846.3562903487314,3686.9133703878156,4002.1602489820625,3832.0020633020836,14.354227046647797,3851.85009765625,Actual
2021-01-21,3849.572672110146,3688.328229243476,4008.9725753176094,3836.056852407312,13.51581970283426,3853.070068359375,Actual
2021-01-22,3853.1927487159846,3680.454230250865,4004.4374547556667,3840.111641512541,13.081107203443688,3841.469970703125,Actual
2021-01-25,3866.5023864160753,3699.845350800558,4028.297607938578,3852.276008828228,14.226377587847354,3855.360107421875,Actual
2021-01-26,3871.713039490033,3722.5394858873387,4042.8706001678597,3856.3307979334563,15.382241556576767,3849.6201171875,Actual
2021-01-27,3877.262723529479,3712.4331128651356,4059.58189630218,3860.385587038685,16.877136490793923,3750.77001953125,Actual
2021-01-28,3883.1066075305403,3722.8033199425167,4040.5883043008666,3864.4403761439135,18.666231386626702,3787.3798828125,Actual
2021-01-29,3889.189765486389,3710.624506524798,4051.156891665499,3868.4951652491427,20.694600237246664,3714.239990234375,Actual
2021-02-01,3908.192590244582,3747.6015088460217,4082.1003475110915,3880.6595325648295,27.53305767975249,3773.860107421875,Actual
2021-02-02,3914.514690440357,3760.7138180786155,4075.5398469897195,3884.714321670058,29.800368770299023,3826.31005859375,Actual
2021-02-03,3920.6863917797577,3754.347165537698,4086.2602083686497,3888.7691107752867,31.91728100447103,3830.169921875,Actual
2021-02-04,3926.6171602568347,3764.422875879921,4097.310887575629,3892.823899880515,33.79326037631966,3871.739990234375,Actual
2021-02-05,3932.2164982283975,3763.0733334685783,4102.928348527853,3896.8786889857442,35.3378092426531,3886.830078125,Actual
2021-02-08,3946.163368109232,3789.308984821341,4103.053218715518,3909.043056301431,37.12031180780096,3915.590087890625,Actual
2021-02-09,3949.6022965004586,3796.1845106331325,4109.967428308179,3913.0978454066594,36.50445109379925,3911.22998046875,Actual
2021-02-10,3952.3267857605715,3783.713100994763,4122.176043902973,3917.152634511888,35.17415124868333,3909.8798828125,Actual
2021-02-11,3954.286884026582,3793.166017335167,4123.65397360348,3921.2074236171165,33.07946040946523,3916.3798828125,Actual
2021-02-12,3955.445038929356,3791.284091090894,4120.229207821894,3925.2622127223462,30.182826207009935,3934.830078125,Actual
2021-02-16,3951.791404303536,3777.6155231872644,4111.501835695921,3941.481369143261,10.310035160275419,3932.590087890625,Actual
2021-02-17,3948.866941490904,3783.3868921909775,4111.375371404627,3945.5361582484898,3.330783242414343,3931.330078125,Actual
